Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,475.000000,497.000000,472.250000,489.649994,482.712616,6633629
2022-04-06,491.000000,498.000000,471.950012,482.450012,475.614655,3812795
2022-04-07,482.399994,491.700012,478.450012,484.899994,478.029907,2825692
2022-04-08,488.000000,496.000000,484.250000,489.600006,482.663330,2494640
2022-04-11,490.000000,501.600006,484.049988,496.450012,489.416290,3637691
2022-04-12,497.899994,497.899994,425.149994,460.500000,453.975616,13785887
2022-04-13,465.000000,474.000000,442.799988,452.399994,445.990356,5731891
2022-04-18,445.000000,445.000000,422.600006,425.000000,418.978577,4784745
2022-04-19,435.000000,440.799988,414.000000,425.899994,419.865814,3518154
2022-04-20,427.000000,434.000000,415.500000,419.549988,413.605774,3309317
2022-04-21,425.149994,434.899994,421.000000,431.649994,425.534332,2817254
2022-04-22,430.600006,441.000000,418.500000,419.799988,413.852234,3470345
2022-04-25,419.000000,419.000000,405.100006,410.450012,404.634735,2357276
2022-04-26,419.950012,429.000000,414.399994,421.549988,415.577423,1696588
2022-04-27,412.750000,421.500000,412.750000,417.799988,411.880585,1730324
2022-04-28,421.600006,427.850006,417.049988,425.100006,419.077148,1729266
2022-04-29,427.000000,430.549988,412.000000,413.899994,408.035828,1881430
2022-05-02,405.649994,416.799988,405.000000,406.649994,400.888550,1528762
2022-05-04,409.049988,414.799988,400.500000,405.350006,399.606964,1568088
2022-05-05,409.600006,419.100006,409.000000,415.649994,409.761047,2015524
2022-05-06,401.000000,406.049988,388.149994,394.850006,389.255768,3126841
2022-05-09,390.000000,391.100006,372.500000,386.950012,381.467682,3528432
2022-05-10,382.500000,391.750000,373.500000,376.399994,371.067139,1685514
2022-05-11,379.950012,381.500000,349.250000,363.200012,358.054169,3370371
2022-05-12,356.000000,368.600006,348.049988,363.500000,358.349915,2857836
2022-05-13,372.000000,376.000000,355.200012,357.950012,352.878571,1707191
2022-05-16,364.000000,367.899994,355.250000,362.149994,357.019043,982942
2022-05-17,365.500000,388.000000,362.500000,383.899994,378.460876,1785580
2022-05-18,385.000000,401.000000,381.799988,389.350006,383.833679,2763383
2022-05-19,385.000000,388.500000,377.000000,382.950012,377.524353,2146623
2022-05-20,393.000000,393.000000,381.500000,383.500000,378.066528,1816816
2022-05-23,385.500000,387.649994,375.399994,378.100006,372.743042,1246814
2022-05-24,382.000000,384.899994,368.850006,373.700012,368.405426,3066271
2022-05-25,377.600006,377.600006,340.600006,343.250000,338.386841,4732740
2022-05-26,348.000000,355.600006,338.250000,353.700012,348.688751,3123783
2022-05-27,357.250000,369.000000,356.100006,362.649994,357.511932,2210418
2022-05-30,368.700012,376.450012,366.399994,373.200012,367.912476,1716336
2022-05-31,373.200012,377.450012,368.500000,370.600006,365.349304,1575617
2022-06-01,372.000000,378.200012,363.600006,368.149994,362.934021,1049132
2022-06-02,368.000000,374.899994,366.000000,372.299988,367.025238,1309097
2022-06-03,378.000000,390.500000,376.950012,381.450012,376.045593,4712523
2022-06-06,381.399994,381.399994,367.149994,368.649994,363.426941,1795247
2022-06-07,365.000000,368.399994,360.250000,361.399994,356.279663,981608
2022-06-08,363.250000,370.799988,362.399994,365.500000,360.321594,1468886
2022-06-09,365.000000,369.899994,362.000000,368.350006,363.131226,770744
2022-06-10,364.000000,366.750000,356.000000,357.299988,352.237732,1172220
2022-06-13,349.000000,349.000000,334.000000,337.950012,333.161896,1677416
2022-06-14,333.100006,353.000000,333.000000,348.649994,343.710297,2067925
2022-06-15,349.049988,357.049988,348.799988,350.799988,345.829834,1482824
2022-06-16,359.950012,364.000000,341.149994,343.149994,338.288239,2376496
2022-06-17,337.000000,346.399994,329.000000,330.450012,325.768158,2219007
2022-06-20,334.000000,334.750000,316.450012,322.100006,317.536469,1865464
2022-06-21,330.000000,337.250000,323.250000,335.350006,330.598755,1801191
2022-06-22,334.000000,344.149994,330.399994,342.549988,337.696716,2522925
2022-06-23,348.000000,354.149994,342.700012,352.649994,347.653625,2209239
2022-06-24,356.649994,363.549988,353.000000,361.649994,356.526093,1978029
2022-06-27,365.899994,378.000000,364.000000,373.100006,367.813904,2721452
2022-06-28,370.000000,375.899994,365.399994,369.799988,364.560638,1645109
